Name,Address,City,Zipcode,Statea
"Tracy Police Dept","1005 E Pescadero Ave","Tracy","95304-8503","CA"
"County Sheriff Recruitment","101 Centre Plaza Dr","Monterey Park","91754-2155","CA"
"Roseville Police Jail","1051 Junction Blvd","Roseville","95678-7191","CA"
"Rancho Cucamonga Police Dept","10510 Civic Center Dr","Rancho Cucamonga","91730-3801","CA"
"Mariposa County Sheriff's Dept","10549 Fiske Rd","Coulterville","95311-9584","CA"
"Fresno Cnty Sheriff Detective","1055 Golden State Blvd","Selma","93662-9793","CA"
"Foster City Police Dept","1030 E Hillsdale Blvd","Foster City","94404-1604","CA"
"San Diego Police Dept","10615 Tierrasanta Blvd","San Diego","92124-2615","CA"
"Fresno County Sheriff Dept","10649 Morro Ave","Del Rey","93616-9767","CA"
"Orange Police Dept-Narcotics","1107 N Batavia St","Orange","92867-4615","CA"
"Merced Police Dept","1109 Loughborough Dr","Merced","95348-1806","CA"
"Vallejo Police Dept-Detective","111 Amador St","Vallejo","94590-6301","CA"
"Hercules Police Dept","111 Civic Dr","Hercules","94547-1771","CA"
"Live Oak Sheriff","1077 Civic Center Blvd","Yuba City","95993-3002","CA"
"Sheriff's Office-Investigation","10879 Donner Pass Rd","Truckee","96161-4802","CA"
"Gonzales Police Dept","109 4th St","Gonzales","93926-0000","CA"
"El Centro Police Athletic Lg","1100 N 4th St","El Centro","92243-1519","CA"
"Fresno County Mun Criminal Ct","1100 Van Ness Ave","Fresno","93721-2016","CA"
"Blue Lake Police Dept","111 Greenwood Rd","Blue Lake","95525-0000","CA"
"Tiburon Police Dept","1155 Tiburon Blvd","Belvedere Tibrn","94920-1550","CA"
"Imperial County Sheriff","1157 N Imperial Hwy","Ocotillo","92259-0000","CA"
"Police Service Ctr","11576 Telegraph Rd","Santa Fe Springs","90670-3110","CA"
"Senior Escort Program","1101 Capp St Lowr Fl","San Francisco","94110-4697","CA"
"Riverside Police Dept","1102 Galleria At Tyler","Riverside","92503-4135","CA"
"Los Angeles County Sheriff","111 N Hill St","Los Angeles","90012-3117","CA"
"Livermore Police-Crime Prvntn","1110 S Livermore Ave","Livermore","94550-9315","CA"
"County Sheriff-Stanton Substa","11100 Cedar St","Stanton","90680-3105","CA"
"Sheriff Substa-Community Svc","1111 Bailey Ave","Needles","92363-3116","CA"
"Cloverdale Police Dept","112 Broad St","Cloverdale","95425-3398","CA"
"Imperial County Sheriff Substa","112 Highway 78","Palo Verde","92266-0000","CA"
"Garden Grove Police Dept","11301 Acacia Pkwy","Garden Grove","92840-5310","CA"
"Santa Barbara County Sheriff","115 Civic Center Plz","Lompoc","93436-6916","CA"
"Greenville Sheriff","115 Highway 89","Greenville","95947-0000","CA"
"El Monte Police Dept","11333 Valley Blvd","El Monte","91731-3210","CA"
"San Diego Police Dept Southern","1120 27th St","San Diego","92154-3301","CA"
